,연도,월일,금리
0,2023,01월 13일,3.5
1,2022,11월 24일,3.25
2,2022,10월 12일,3
3,2022,08월 25일,2.5
4,2022,07월 13일,2.25
5,2022,05월 26일,1.75
6,2022,04월 14일,1.5
7,2022,01월 14일,1.25
8,2021,11월 25일,1
9,2021,08월 26일,0.75
10,2020,05월 28일,0.5
11,2020,03월 17일,0.75
12,2019,10월 16일,1.25
13,2019,07월 18일,1.5
14,2018,11월 30일,1.75
15,2017,11월 30일,1.5
16,2016,06월 09일,1.25
17,2015,06월 11일,1.5
18,2015,03월 12일,1.75
19,2014,10월 15일,2
20,2014,08월 14일,2.25
21,2013,05월 09일,2.5
22,2012,10월 11일,2.75
23,2012,07월 12일,3
24,2011,06월 10일,3.25
25,2011,03월 10일,3
26,2011,01월 13일,2.75
27,2010,11월 16일,2.5
28,2010,07월 09일,2.25
29,2009,02월 12일,2
30,2009,01월 09일,2.5
31,2008,12월 11일,3
32,2008,11월 07일,4
33,2008,10월 27일,4.25
34,2008,10월 09일,5
35,2008,08월 07일,5.25
36,2007,08월 09일,5
37,2007,07월 12일,4.75
38,2006,08월 10일,4.5
39,2006,06월 08일,4.25
40,2006,02월 09일,4
41,2005,12월 08일,3.75
42,2005,10월 11일,3.5
43,2004,11월 11일,3.25
44,2004,08월 12일,3.5
45,2003,07월 10일,3.75
46,2003,05월 13일,4
47,2002,05월 07일,4.25
48,2001,09월 19일,4
49,2001,08월 09일,4.5
